THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68674,"WASHFOLD",Y,"A pen for holding sheep waiting to be washed.",1,P,"-"
68675,"CIVIL",N,"Sites, buildings, structures etc associated with the civil administration of settlements & enforcement of the laws of the land. Includes local & central government, settlements granted by the crown or ruling administration does not manorial settlements.",1,P,"-"
68676,"ASSEMBLY HALL",Y,"A hall in which public assemblies and meetings can be held.",1,P,"-"
68677,"Assembly Room",N,"-",1,N,"-"
68678,"BASILICA",Y,"An aisled timber or masonry hall, serving as the chief administrative public meeting centre and law courts for a Roman town. Usually located alongside the forum.",1,P,"-"
68679,"BURH",Y,"An Anglo-Saxon fortified town or other defended site, not necessarily urban.",1,P,"-"
68680,"CHURCH HALL",Y,"A hall associated with a church, used for holding functions, meetings and for conducting parish business.",1,P,"-"
68681,"CHURCH HOUSE",Y,"House owned by the church, often used for meetings.",1,P,"-"
68682,"COINAGE HALL",Y,"Civil building in Cornwall and Devon for assay and sale of tin ingots.",1,P,"-"
68684,"POST BOX",Y,"A box in which letters are posted or deposited for dispatch.",1,P,"-"
68685,"POST OFFICE",Y,"A building, department or shop where postal business is carried on.",1,P,"-"
68686,"SEMAPHORE STATION",Y,"A signal station incorporating equipment for visually conveying coded communications.",1,P,"-"
68687,"SIGNAL STATION",Y,"A building or tower used to communicate information to shipping or other stations using signals such as flags, fires or lights. Roman signal stations took the form of a stone tower surrounded by a ditched enclosure and were used to warn of Saxon raids.",1,P,"-"
68688,"SORTING OFFICE",Y,"A place where letters and parcels are sorted before being distributed. Usually found at a large general post office.",1,P,"-"
68689,"TELEGRAPH STATION",Y,"One in a chain of stations with semaphore shutters and telescopes which could relay messages according to a planned code. Used from the 1790s by the British Admiralty to speed up communications from London to the ports of Deal, Portsmouth and Plymouth.",1,P,"-"
68690,"TELEPHONE BOX",Y,"A freestanding public call box, containing a telephone and usually operated by inserting coins.",1,P,"-"
68691,"TELEPHONE EXCHANGE",Y,"An office or central station of a local telephone system where the various lines are brought to a central switchboard and communication between subscribers is achieved.",1,P,"-"
68692,"COUNTY HALL",Y,"A building from which the administration of a county is carried out by the County Council. It is also, historically, the site where the county quarter sessions and assizes were held.",1,P,"-"
68693,"EDUCATION",N,"Sites, buildings, structures & features relating to the provision of knowledge and skills.",1,P,"-"
68694,"ART GALLERY",Y,"A building in which works of art are displayed, permanently or temporarily.",1,P,"-"
68695,"COLLEGE",Y,"An establishment, often forming part of a university, for higher or tertiary education.",1,P,"-"
68696,"EXHIBITION HALL",Y,"A hall used for housing public displays.",1,P,"-"
68697,"LIBRARY",Y,"A building, room or suite of rooms where books, or other materials, are classified by subject and stored for use by the library's members.",1,P,"-"
68698,"MUSEUM",Y,"A building, group of buildings or space within a building, where objects of value such as works of art, antiquities, scientific specimens, or other artefacts are housed and displayed.",1,P,"-"
68699,"OBSERVATORY",Y,"A building containing celestial telescopes in which astronomical or meteorological phenomena may be observed.",1,P,"-"
68700,"SCHOOL",Y,"An establishment in which people, usually children, are taught.",1,P,"-"
68701,"GRAMMAR SCHOOL",Y,"A school founded in or before the 16th century, for teaching Latin, later becoming a secondary school teaching languages, history, science, etc.",1,P,"-"
68702,"RIDING SCHOOL",Y,"A school for instruction in the art of horsemanship.",1,P,"-"
68703,"UNIVERSITY",Y,"A group of colleges and associated buildings belonging to a university.",1,P,"-"
68704,"ZOO",Y,"A garden or park, with ancilliary buildings, in which wild animals are kept and reared for public exhibition.",1,P,"-"
68705,"FORUM",Y,"A large, rectangular open space at the centre of a Roman town, incorporating public spaces and a market area.",1,P,"-"
68706,"GUILDHALL",Y,"Traditionally, the hall of a crafts, trade, or merchants' guild. Nowadays, often used to describe a TOWN HALL.",1,P,"-"
68707,"HEALTH AND WELFARE",N,"Sites, buildings, structures & features associated with health (for example, treatment of the sick) &/or social welfare (for example, alleviation of poverty), including all charitable foundations & all forms of state defined social welfare.",1,P,"-"
68708,"ALMONRY",Y,"A building adjacent to a monastery where alms were distributed to the poor.",1,P,"-"
68709,"ALMSHOUSE",Y,"A house devoted to the shelter of the poor and endowed by a benefactor for this use.",1,P,"-"
68710,"AMBULANCE STATION",Y,"A building where ambulances are housed awaiting emergency calls.",1,P,"-"
68711,"Asylum",N,"-",1,N,"-"
68712,"BATHS",Y,"A building, usually open to the public, containing a number of areas for bathing. In the case of such a complex containing baths for swimming, also index with INDOOR or OUTDOOR SWIMMING POOL.",1,P,"-"
68713,"CLINIC",Y,"An institution, sometimes attached to a hospital, where patients may receive treatment or health checks.",1,P,"-"
68714,"COASTGUARD STATION",Y,"A building or group of buildings situated close to the sea used by coastguards to enable them to monitor the coastline.",1,P,"-"
68715,"FIRE STATION",Y,"A civic building housing fire engines and a permanent fire-fighting force.",1,P,"-"
68716,"HOSPITAL",Y,"An establishment providing medical or surgical treatment for the ill or wounded. Use narrower term where possible.",1,P,"-"
68717,"LEPER HOSPITAL",Y,"A medieval hospital for lepers, usually consisting of a church and individual shelters for the lepers.",1,P,"-"
68718,"Pest House",N,"-",1,N,"-"
68719,"ORPHANAGE",Y,"A public institution for the care and protection of children without parents.",1,P,"-"
68720,"PLAGUE STONE",Y,"A stone on which plague victims placed vinegar-disinfected money to pay for food left for them by the townspeople.",1,P,"-"
68721,"SANATORIUM",Y,"A hospital for convalescents or consumptives.",1,P,"-"
68722,"SPA",Y,"A medicinal or mineral spring often with an associated building.",1,P,"-"
68723,"WORKHOUSE",Y,"A 19th century establishment for the provision of work for the unemployed poor of a parish; later an institution administered by Guardians of the Poor, in which paupers are lodged and the able-bodied set to work.",1,P,"-"
68725,"COURT HOUSE",Y,"A building in which a judicial court is held.",1,P,"-"
68726,"DUCKING POND",Y,"A pond used for the punishment, by ducking in water, of offenders.",1,P,"-"
68727,"DUCKING STOOL",Y,"A chair fixed to the end of a plank, in which scolds or dishonest people were tied and ducked in water as a punishment.",1,P,"-"
68728,"EXECUTION SITE",Y,"A place where people were put to death. Use narrower monument type where known.",1,P,"-"
68729,"GALLOWS",Y,"A structure used for execution by hanging. Usually two uprights and a cross-piece, from which the offender is suspended by the neck.",1,P,"-"
68730,"GALLOWS MOUND",Y,"A natural or man-made earth mound on which a gallows was erected.",1,P,"-"
68731,"GIBBET",Y,"An upright post with projecting arm from which the body of a criminal would be hung in chains after execution.",1,P,"-"
68732,"LEET HALL",Y,"A place where a yearly or half-yearly court of record is held by lords of certain manors.",1,P,"-"
68733,"PILLORY",Y,"A wooden frame with holes, through which the head and hands of an offender were thrust, in which state they would be exposed to public ridicule and assault.",1,P,"-"
68734,"POLICE STATION",Y,"The office or headquarters of a local police force, or of a police district.",1,P,"-"
68735,"PRISON",Y,"An establishment where offenders are confined. Use more specific type where known.",1,P,"-"
68736,"SCAFFOLD",Y,"An elevated platform on which a criminal is executed.",1,P,"-"
68737,"STOCKS",Y,"An instrument of punishment, in which the offender was placed in a sitting position in a timber frame, with holes to confine the ankles and wrists between two planks.",1,P,"-"
68738,"WHIPPING POST",Y,"A post set up, to which offenders were tied to be whipped.",1,P,"-"
68739,"LIVERY HALL",Y,"A type of guildhall belonging primarily to the London livery companies, but also found elsewhere in the country, so called because of the livery worn by members of the guild.",1,P,"-"
68740,"MANSIO",Y,"A type of Roman lodging house, frequently sited near the town gate.",1,P,"-"
68741,"MINT",Y,"A place where money is coined under public authority.",1,P,"-"
68742,"MOOT",Y,"An outdoor meeting place.",1,P,"-"
68743,"MOOT HALL",Y,"A meeting hall, sometimes equivalent to a GUILDHALL, but also associated with some early mining industries.",1,P,"-"
68744,"OPPIDUM",Y,"An imprecise term used to describe large Iron Age settlements of town-like proportions.",1,P,"-"
68745,"ENCLOSED OPPIDUM",Y,"A site with one or more defensive earthworks, often at a river crossing incorporating natural features which define parts of the curtilage.",1,P,"-"
68747,"PARISH BOUNDARY",Y,"The limit line of a parish.",1,P,"-"
68748,"PARISH HALL",Y,"A hall built for the use of people living within a parish boundary.",1,P,"-"
68749,"PUBLIC BUILDING",Y,"A building or group of buildings owned and operated by a governing body and often occupied by a government agency. Use specific type of building where known.",1,P,"-"
68750,"TOWN",Y,"An assemblage of public and private buildings, larger than a village and having more complete and independent local government.",1,P,"-"
68751,"CIVITAS CAPITAL",Y,"A planned administrative capital for local government which provided amenities for the Roman and peregrine (non-Roman) inhabitants of the town.",1,P,"-"
68752,"COLONIA",Y,"A town founded as an act of government by charter to house Roman or Latin citizens, usually retired legionaires who had been granted land within a territorium.",1,P,"-"
68753,"MUNICIPIUM",Y,"A town for citizens of Roman or Latin status with a constitution governed by charter, which if possessing only Latin rights could be promoted to the status of a colonia.",1,P,"-"
68754,"TOWN HALL",Y,"A large building used for the transaction of the public business of a town, the holding of courts of justice, entertainments and other activities.",1,P,"-"
68755,"VICUS",Y,"A district, suburb or quarter of a town or village adjacent to a fort, with the lowest legal status accorded to a built up area.",1,P,"-"
68756,"VILLAGE HALL",Y,"A hall in a village used for meetings and other functions.",1,P,"-"
68757,"COMMEMORATIVE",N,"Sites, buildings, structures, features & areas of land commemorating an historical event, person or animal.",1,P,"-"
68758,"BATTLEFIELD",Y,"The field or area of ground on which a battle or skirmish was fought.",1,P,"-"
68759,"CENOTAPH",Y,"A sepulchral monument erected to commemorate a person or persons buried elsewhere.",1,P,"-"
68760,"CENTURIAL STONE",Y,"An inscribed marker stone found on Hadrian's Wall.",1,P,"-"
