section,source_uri,source_label,target_label,target_uri,match,skos_predicate
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIxHmbVwDYW,mur,walls,http://vocab.getty.edu/aat/300002469,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtKABRRvuwRJ,mur d'enceinte,ramparts,http://vocab.getty.edu/aat/300002505,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtdKYAov6rPY,muraille,defensive walls,http://vocab.getty.edu/aat/300002485,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtADTnt0nqjr,murus gallicus,murus gallicus,http://vocab.getty.edu/aat/300247580,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrthoMrS3qnLo,musée,museums (institutions),http://vocab.getty.edu/aat/300312281,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtmoM3SzhDcB,nacre,mother of pearl,http://vocab.getty.edu/aat/300011835,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtheTIyQA4MB,narthex,narthexes,http://vocab.getty.edu/aat/300004624,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtiWWfFSvcjn,nasse,fykes,http://vocab.getty.edu/aat/300263216,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtM1Jed0bHvM,navette,shuttles (textile tools),http://vocab.getty.edu/aat/300247548,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt7T8PlSbmnN,navigation fluviale,water transport,http://vocab.getty.edu/aat/300068773,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtsIm3RuNMGu,nécropole,necropolises,http://vocab.getty.edu/aat/300000372,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtBTt3dH8T7s,nécropole à incinération,necropolises,http://vocab.getty.edu/aat/300000372,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjurU41z1VA,nécropole à rangées,necropolises,http://vocab.getty.edu/aat/300000372,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjurU41z1VA,nécropole en plein champ,necropolises,http://vocab.getty.edu/aat/300000372,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtVUHISri9uE,nef,naves,http://vocab.getty.edu/aat/300004627,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrthbreFd57Bs,niche,niches,http://vocab.getty.edu/aat/300002704,exact match,exactMatch
